gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
061676,01,000208,1998-01-07,2020-12-18,Nasdaq 100,LGCAP,I0028,,,EXCHG,CITRIX SYSTEMS INC,CTXS,177376100,0000877890,7372,511210
013440,03,000208,1998-08-27,2001-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,LEVEL 3 COMMUNICATIONS INC,LVLT,52729N308,0000794323,4813,517110
026061,01,000208,1998-09-15,2009-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,MATCH GROUP INC,MTCH,57667L107,0000891103,7370,519290
062634,01,000208,1998-09-16,2017-06-16,Nasdaq 100,LGCAP,I0028,,,EXCHG,ALTABA INC,AABA,021346101,0001011006,7370,519130
027928,01,000208,1998-12-21,,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTUIT INC,INTU,461202103,0000896878,7372,513210
064768,01,000208,1998-12-21,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMAZON.COM INC,AMZN,023135106,0001018724,5961,455219
024361,01,000208,1998-12-21,2000-10-26,Nasdaq 100,LGCAP,I0028,,,EXCHG,PTV INC,PTVI,69367F108,,4813,517110
031587,01,000208,1998-12-21,2000-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,DOLLAR TREE INC,DLTR,256746108,0000935703,5331,455219
063023,01,000208,1998-12-21,2001-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,MCLEODUSA INC  -CL A,MCLD.1,582266102,0000919943,4813,517110
024803,01,000208,1998-12-21,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,VITESSE SEMICONDUCTOR CORP,VTSS,928497304,0000880446,3674,334413
029356,01,000208,1998-12-21,2005-07-05,Nasdaq 100,LGCAP,I0028,,,EXCHG,VERITAS SOFTWARE CORP,VRTS.1,923436109,0001084408,7372,511210
028139,01,000208,1998-12-30,2005-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,SANMINA CORP,SANM,801056102,0000897723,3672,334412
012884,01,000208,1999-01-13,2007-02-05,Nasdaq 100,LGCAP,I0028,,,EXCHG,COMVERSE TECHNOLOGY INC,CMVT,205862402,0000803014,7372,511210
065068,01,000208,1999-03-10,2001-10-03,Nasdaq 100,LGCAP,I0028,,,EXCHG,AT HOME CORP,3ATHMQ,045919107,0001020620,7370,514191
029621,01,000208,1999-03-18,2001-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,STEEL CONNECT INC,STCN,858098205,0000914712,7389,561910
029241,01,000208,1999-05-05,2006-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,VIAVI SOLUTIONS INC,VIAV,925550105,0000912093,3576,334210
063194,01,000208,1999-05-25,2001-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,CNET NETWORKS INC,CNET.,12613R104,0001015577,7370,517110
062550,01,000208,1999-05-28,2000-10-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,LYCOS INC,LCOS.,550818108,0001007992,7370,514191
014897,01,000208,1999-06-10,2000-09-06,Nasdaq 100,LGCAP,I0028,,,EXCHG,VISX INC/DE,EYE.1,92844S105,0000837991,3845,334510
063180,01,000208,1999-06-25,2006-02-07,Nasdaq 100,LGCAP,I0028,,,EXCHG,SIEBEL SYSTEMS INC,SEBL,826170102,0001006835,7372,511210
116526,01,000208,1999-07-14,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,CONEXANT SYSTEMS INC,CNXT.1,207142308,0001069353,3674,334413
064356,01,000208,1999-08-04,2003-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,CIENA CORP,CIEN,171779309,0000936395,3661,334210
113491,01,000208,1999-09-09,2000-11-05,Nasdaq 100,LGCAP,I0028,,,EXCHG,GLOBAL CROSSING LTD,GLBC,G3921A100,0001061322,4813,517110
