Date,Ticker,Russell1000,RussellT200,R1000_WT,R200_WT
2016-09-30,CSCO,Y,Y,0.007627,0.010727
2016-09-30,C,Y,Y,0.006625,0.009318
2016-09-30,KO,Y,Y,0.007876,0.011077
2016-09-30,CTSH,Y,Y,0.001375,0.001934
2016-09-30,CL,Y,Y,0.003073,0.004321
2016-09-30,CMCSA,Y,Y,0.007637,0.010740
2016-09-30,COP,Y,Y,0.002573,0.003619
2016-09-30,STZ,Y,Y,0.001315,0.001850
2016-09-30,GLW,Y,Y,0.001214,0.001707
2016-09-30,COST,Y,Y,0.003173,0.004462
2016-09-30,CCI,Y,Y,0.001510,0.002124
2016-09-30,DHR,Y,Y,0.002265,0.003186
2016-09-30,DE,Y,Y,0.001282,0.001803
2016-09-30,DVMT,Y,Y,0.000494,0.000695
2016-09-30,DAL,Y,Y,0.001448,0.002037
2016-09-30,DIS,Y,Y,0.007198,0.010123
2016-09-30,DFS,Y,Y,0.001107,0.001557
2016-09-30,DISH,Y,Y,0.000574,0.000807
2016-09-30,D,Y,Y,0.002182,0.003068
2016-09-30,DOW,Y,Y,0.002777,0.003906
2016-09-30,DD,Y,Y,0.002796,0.003932
2016-09-30,DUK,Y,Y,0.002636,0.003707
2016-09-30,EOG,Y,Y,0.002538,0.003569
2016-09-30,EBAY,Y,Y,0.001676,0.002358
2016-09-30,ECL,Y,Y,0.001514,0.002129
2016-09-30,EMR,Y,Y,0.001667,0.002344
2016-09-30,EQR,Y,Y,0.001093,0.001538
2016-09-30,EXC,Y,Y,0.001410,0.001982
2016-09-30,ESRX,Y,Y,0.002130,0.002996
2016-09-30,XOM,Y,Y,0.017388,0.024455
2016-09-30,FB,Y,Y,0.013751,0.019339
2016-09-30,FDX,Y,Y,0.002081,0.002926
2016-09-30,F,Y,Y,0.002238,0.003147
2016-09-30,FTV,Y,Y,0.000735,0.001034
2016-09-30,BEN,Y,Y,0.000612,0.000860
2016-09-30,GD,Y,Y,0.001807,0.002542
2016-09-30,GE,Y,Y,0.013023,0.018315
2016-09-30,GIS,Y,Y,0.001813,0.002549
2016-09-30,GM,Y,Y,0.002126,0.002990
2016-09-30,GILD,Y,Y,0.005007,0.007042
2016-09-30,GS,Y,Y,0.002971,0.004178
2016-09-30,HCA,Y,Y,0.001107,0.001557
2016-09-30,HPQ,Y,Y,0.001282,0.001803
2016-09-30,HAL,Y,Y,0.001836,0.002583
2016-09-30,HPE,Y,Y,0.001875,0.002637
2016-09-30,HD,Y,Y,0.007649,0.010758
2016-09-30,HON,Y,Y,0.004238,0.005960
2016-09-30,HUM,Y,Y,0.001258,0.001769
2016-09-30,ITW,Y,Y,0.001684,0.002369
2016-09-30,INTC,Y,Y,0.008523,0.011987
2016-09-30,ICE,Y,Y,0.001512,0.002127
2016-09-30,IBM,Y,Y,0.006672,0.009383
2016-09-30,INTU,Y,Y,0.001279,0.001799
2016-09-30,JPM,Y,Y,0.011581,0.016287
2016-09-30,JNJ,Y,Y,0.015507,0.021809
2016-09-30,KMB,Y,Y,0.002163,0.003042
2016-09-30,KMI,Y,Y,0.002124,0.002987
2016-09-30,KHC,Y,Y,0.002548,0.003583
2016-09-30,KR,Y,Y,0.001347,0.001894
2016-09-30,LVS,Y,Y,0.000997,0.001402
2016-09-30,EL,Y,Y,0.000915,0.001287
2016-09-30,LLY,Y,Y,0.003738,0.005257
2016-09-30,LMT,Y,Y,0.002911,0.004093
2016-09-30,LOW,Y,Y,0.003084,0.004337
2016-09-30,MMC,Y,Y,0.001673,0.002353
2016-09-30,MA,Y,Y,0.004685,0.006588
2016-09-30,MCD,Y,Y,0.004843,0.006811
2016-09-30,MCK,Y,Y,0.001789,0.002516
2016-09-30,MRK,Y,Y,0.008260,0.011617
2016-09-30,MET,Y,Y,0.001973,0.002775
2016-09-30,MSFT,Y,Y,0.020843,0.029313
2016-09-30,MDLZ,Y,Y,0.003132,0.004405
2016-09-30,MON,Y,Y,0.002128,0.002993
2016-09-30,MNST,Y,Y,0.000976,0.001373
2016-09-30,MS,Y,Y,0.002185,0.003072
2016-09-30,NFLX,Y,Y,0.001918,0.002698
2016-09-30,NEE,Y,Y,0.002691,0.003784
2016-09-30,NKE,Y,Y,0.003331,0.004684
2016-09-30,NSC,Y,Y,0.001368,0.001924
2016-09-30,NOC,Y,Y,0.001699,0.002390
2016-09-30,OXY,Y,Y,0.002655,0.003734
2016-09-30,ORCL,Y,Y,0.005550,0.007805
2016-09-30,PCG,Y,Y,0.001450,0.002039
2016-09-30,PNC,Y,Y,0.002148,0.003021
2016-09-30,PPG,Y,Y,0.001308,0.001840
2016-09-30,PYPL,Y,Y,0.002213,0.003113
2016-09-30,PEP,Y,Y,0.007504,0.010554
2016-09-30,PFE,Y,Y,0.009723,0.013674
2016-09-30,PM,Y,Y,0.007197,0.010121
2016-09-30,PSX,Y,Y,0.001733,0.002438
2016-09-30,PXD,Y,Y,0.001440,0.002026
2016-09-30,PX,Y,Y,0.001646,0.002316
2016-09-30,PCLN,Y,Y,0.003477,0.004890
2016-09-30,PG,Y,Y,0.011425,0.016068
2016-09-30,PRU,Y,Y,0.001723,0.002423
2016-09-30,PSA,Y,Y,0.001571,0.002210
2016-09-30,QCOM,Y,Y,0.004806,0.006759
2016-09-30,RTN,Y,Y,0.001930,0.002714
2016-09-30,REGN,Y,Y,0.001489,0.002094
2016-09-30,RAI,Y,Y,0.001859,0.002614
2016-09-30,SPGI,Y,Y,0.001592,0.002239
2016-09-30,CRM,Y,Y,0.002179,0.003064
2016-09-30,SLB,Y,Y,0.005228,0.007353
2016-09-30,SCHW,Y,Y,0.001756,0.002469
2016-09-30,SHW,Y,Y,0.001062,0.001493
2016-09-30,SPG,Y,Y,0.003042,0.004278
2016-09-30,SO,Y,Y,0.002302,0.003237
2016-09-30,LUV,Y,Y,0.001186,0.001668
2016-09-30,SE,Y,Y,0.001427,0.002007
2016-09-30,SBUX,Y,Y,0.003689,0.005188
2016-09-30,STT,Y,Y,0.001310,0.001843
2016-09-30,SYK,Y,Y,0.001870,0.002629
2016-09-30,SYY,Y,Y,0.001227,0.001726
2016-09-30,TJX,Y,Y,0.002360,0.003319
2016-09-30,TMUS,Y,Y,0.000636,0.000894
2016-09-30,TGT,Y,Y,0.001935,0.002722
2016-09-30,TSLA,Y,Y,0.001140,0.001603
2016-09-30,TXN,Y,Y,0.003368,0.004736
2016-09-30,TMO,Y,Y,0.002980,0.004190
2016-09-30,TRI,Y,Y,0.000592,0.000832
2016-09-30,MMM,Y,Y,0.004952,0.006965
2016-09-30,TWX,Y,Y,0.002990,0.004205
2016-09-30,TRV,Y,Y,0.001596,0.002244
2016-09-30,FOXA,Y,Y,0.001256,0.001767
2016-09-30,FOX,Y,Y,0.000577,0.000812
2016-09-30,USB,Y,Y,0.003326,0.004678
2016-09-30,UNP,Y,Y,0.003929,0.005526
2016-09-30,UPS,Y,Y,0.003612,0.005079
2016-09-30,UTX,Y,Y,0.003767,0.005298
2016-09-30,UNH,Y,Y,0.006269,0.008817
2016-09-30,VFC,Y,Y,0.000910,0.001280
2016-09-30,VLO,Y,Y,0.001188,0.001671
2016-09-30,VZ,Y,Y,0.010134,0.014252
2016-09-30,VRTX,Y,Y,0.001024,0.001440
2016-09-30,V,Y,Y,0.007528,0.010588
2016-09-30,VMW,Y,Y,0.000284,0.000399
2016-09-30,WMT,Y,Y,0.005212,0.007330
2016-09-30,WBA,Y,Y,0.003311,0.004656
2016-09-30,WM,Y,Y,0.001349,0.001898
2016-09-30,WFC,Y,Y,0.009667,0.013595
2016-09-30,YHOO,Y,Y,0.001783,0.002508
2016-09-30,YUM,Y,Y,0.001673,0.002353
2016-09-30,AGN,Y,Y,0.004350,0.006118
2016-09-30,AON,Y,Y,0.001411,0.001985
2016-09-30,ACN,Y,Y,0.003639,0.005118
2016-09-30,ETN,Y,Y,0.001434,0.002017
2016-09-30,MDT,Y,Y,0.005788,0.008140
2016-09-30,CB,Y,Y,0.002773,0.003900
2016-09-30,LYB,Y,Y,0.001335,0.001878
2016-09-30,MYL,Y,Y,0.000832,0.001170
2016-09-30,AVGO,Y,Y,0.003105,0.004367
2016-10-31,AFL,Y,Y,0.001349,0.001889
2016-10-31,T,Y,Y,0.011061,0.015481
2016-10-31,ABT,Y,Y,0.002810,0.003933
2016-10-31,ABBV,Y,Y,0.004404,0.006164
2016-10-31,ATVI,Y,Y,0.001177,0.001648
2016-10-31,ADBE,Y,Y,0.002557,0.003579
2016-10-31,ASIX,Y,Y,0.000024,0.000033
2016-10-31,AET,Y,Y,0.001778,0.002489
2016-10-31,APD,Y,Y,0.001272,0.001781
2016-10-31,ALXN,Y,Y,0.001381,0.001933
2016-10-31,ALL,Y,Y,0.001238,0.001732
2016-10-31,GOOG,Y,Y,0.011360,0.015900
2016-10-31,GOOGL,Y,Y,0.011603,0.016240
2016-10-31,MO,Y,Y,0.006311,0.008834
2016-10-31,AMZN,Y,Y,0.014990,0.020981
2016-10-31,AEP,Y,Y,0.001556,0.002178
